mode,axis,direction,strength,effect,ci_low,ci_high,n_stories,n_topics
baseline,warmth,accuracy,,1.0,1.0,1.0,20,10
baseline,warmth,high_low_margin_gap,,25.925,25.51859375,26.3,20,10
baseline,competence,accuracy,,1.0,1.0,1.0,20,10
baseline,competence,high_low_margin_gap,,23.6375,23.1375,24.0625,20,10
steering,competence,axis_specific,-0.1,-3.84375,-4.36875,-3.25625,20,10
steering,competence,axis_specific,-0.05,-1.29375,-1.45625,-1.14375,20,10
steering,competence,axis_specific,0.0,0.0,0.0,0.0,20,10
steering,competence,axis_specific,0.05,1.1875,0.88125,1.45625,20,10
steering,competence,axis_specific,0.1,4.3625,3.83734375,4.8125,20,10
steering,competence,other_axis,-0.1,-0.75,-1.09375,-0.44375,20,10
steering,competence,other_axis,-0.05,-0.3875,-0.640625,-0.15625,20,10
steering,competence,other_axis,0.0,0.0,0.0,0.0,20,10
steering,competence,other_axis,0.05,0.7,0.34375,1.1125,20,10
steering,competence,other_axis,0.1,0.30625,-0.05625,0.725,20,10
steering,competence,random,-0.1,0.64375,0.153125,1.10625,20,10
steering,competence,random,-0.05,-1.65,-1.987578125,-1.3842968750000004,20,10
steering,competence,random,0.0,0.0,0.0,0.0,20,10
steering,competence,random,0.05,1.3125,1.075,1.54375,20,10
steering,competence,random,0.1,2.66875,2.39375,2.96875,20,10
steering,competence,raw_dense,-0.1,-1.58125,-2.1126562499999997,-1.0123437500000008,20,10
steering,competence,raw_dense,-0.05,-0.5875,-0.74375,-0.43125,20,10
steering,competence,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,competence,raw_dense,0.05,0.25,0.0625,0.475,20,10
steering,competence,raw_dense,0.1,0.2125,-0.075,0.525,20,10
steering,competence,sae_reconstructed,-0.1,-4.58125,-5.23765625,-3.9875,20,10
steering,competence,sae_reconstructed,-0.05,-1.56875,-1.76875,-1.3310937500000009,20,10
steering,competence,sae_reconstructed,0.0,0.0,0.0,0.0,20,10
steering,competence,sae_reconstructed,0.05,1.3875,1.11875,1.6375,20,10
steering,competence,sae_reconstructed,0.1,3.53125,3.11859375,3.875,20,10
steering,competence,shared,-0.1,-2.26875,-2.5814062499999997,-1.98125,20,10
steering,competence,shared,-0.05,-1.11875,-1.3,-0.94375,20,10
steering,competence,shared,0.0,0.0,0.0,0.0,20,10
steering,competence,shared,0.05,1.3875,1.1875,1.6125,20,10
steering,competence,shared,0.1,1.60625,1.31875,1.9625,20,10
steering,warmth,axis_specific,-0.1,0.259375,0.128125,0.41875,20,10
steering,warmth,axis_specific,-0.05,0.471875,0.34054687500000014,0.6125781249999996,20,10
steering,warmth,axis_specific,0.0,0.0,0.0,0.0,20,10
steering,warmth,axis_specific,0.05,-1.4875,-1.7875,-1.175,20,10
steering,warmth,axis_specific,0.1,-1.38125,-1.553125,-1.209375,20,10
steering,warmth,other_axis,-0.1,-4.61875,-4.95640625,-4.271875,20,10
steering,warmth,other_axis,-0.05,-1.390625,-1.659375,-1.1280468750000006,20,10
steering,warmth,other_axis,0.0,0.0,0.0,0.0,20,10
steering,warmth,other_axis,0.05,1.15625,1.0125,1.325,20,10
steering,warmth,other_axis,0.1,2.8625,2.556171875,3.1563281249999995,20,10
steering,warmth,random,-0.1,0.653125,0.196875,1.184375,20,10
steering,warmth,random,-0.05,-0.23125,-0.40625,-0.003125,20,10
steering,warmth,random,0.0,0.0,0.0,0.0,20,10
steering,warmth,random,0.05,0.65,0.44992187500000014,0.84375,20,10
steering,warmth,random,0.1,1.3375,1.140625,1.546875,20,10
steering,warmth,raw_dense,-0.1,-1.51875,-1.725,-1.31875,20,10
steering,warmth,raw_dense,-0.05,-0.84375,-0.990625,-0.725,20,10
steering,warmth,raw_dense,0.0,0.0,0.0,0.0,20,10
steering,warmth,raw_dense,0.05,0.5125,0.45625,0.559375,20,10
steering,warmth,raw_dense,0.1,1.025,0.7625,1.278125,20,10
steering,warmth,sae_reconstructed,-0.1,-0.153125,-0.325,7.812499999957368e-05,20,10
steering,warmth,sae_reconstructed,-0.05,0.175,-0.03445312499999986,0.396875,20,10
steering,warmth,sae_reconstructed,0.0,0.0,0.0,0.0,20,10
steering,warmth,sae_reconstructed,0.05,-0.5875,-0.7813281249999998,-0.3592968750000004,20,10
steering,warmth,sae_reconstructed,0.1,-0.190625,-0.325,-0.037421875000000424,20,10
steering,warmth,shared,-0.1,-2.078125,-2.490703125,-1.5686718750000006,20,10
steering,warmth,shared,-0.05,-0.89375,-1.20625,-0.60625,20,10
steering,warmth,shared,0.0,0.0,0.0,0.0,20,10
steering,warmth,shared,0.05,0.80625,0.653125,0.978125,20,10
steering,warmth,shared,0.1,0.69375,0.528125,0.8907031249999996,20,10
